"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"COFORGE","EQ","25-May-2021","       3290.40","       3300.00","       3374.50","       3295.50","       3345.00","       3341.80","       3341.53","     521689","          1743237868.10","      26943"
"COFORGE","EQ","26-May-2021","       3341.80","       3345.00","       3505.00","       3345.00","       3490.00","       3484.65","       3445.93","    1358170","          4680156184.75","      80803"
"COFORGE","EQ","27-May-2021","       3484.65","       3498.70","       3564.10","       3460.75","       3497.00","       3495.90","       3513.44","    1267263","          4452447780.00","      78590"
"COFORGE","EQ","28-May-2021","       3495.90","       3510.00","       3585.00","       3500.00","       3544.00","       3543.05","       3544.80","     649978","          2304042314.65","      36819"
"COFORGE","EQ","31-May-2021","       3543.05","       3558.00","       3579.00","       3511.10","       3542.40","       3529.40","       3546.24","     418257","          1483241747.50","      26447"
"COFORGE","EQ","01-Jun-2021","       3529.40","       3540.00","       3598.00","       3505.90","       3594.00","       3588.60","       3556.65","     428643","          1524532297.95","      26472"
"COFORGE","EQ","02-Jun-2021","       3588.60","       3588.00","       3610.00","       3530.00","       3566.30","       3575.65","       3567.51","     370855","          1323029984.75","      28659"
"COFORGE","EQ","03-Jun-2021","       3575.65","       3575.00","       3659.55","       3560.00","       3641.00","       3644.45","       3615.38","     518452","          1874399264.60","      33505"
"COFORGE","EQ","04-Jun-2021","       3644.45","       3660.00","       3715.00","       3650.00","       3675.00","       3694.10","       3688.05","     663470","          2446913680.10","      37612"
"COFORGE","EQ","07-Jun-2021","       3694.10","       3694.10","       3732.00","       3660.80","       3715.00","       3713.40","       3698.34","     336542","          1244646222.80","      25465"
"COFORGE","EQ","08-Jun-2021","       3713.40","       3717.00","       3849.40","       3717.00","       3840.00","       3824.10","       3805.55","     958609","          3648034905.35","      68007"
"COFORGE","EQ","09-Jun-2021","       3824.10","       3840.00","       3968.00","       3831.95","       3844.00","       3848.55","       3905.66","    1103959","          4311692003.70","      74520"
"COFORGE","EQ","10-Jun-2021","       3848.55","       3878.80","       3940.00","       3870.00","       3900.00","       3896.90","       3906.64","     394096","          1539590617.60","      31388"
"COFORGE","EQ","11-Jun-2021","       3896.90","       3916.40","       4009.70","       3906.00","       3982.90","       3978.95","       3974.19","     601470","          2390356815.15","      43636"
"COFORGE","EQ","14-Jun-2021","       3978.95","       4013.95","       4013.95","       3873.05","       3925.00","       3908.45","       3917.53","     446759","          1750192711.95","      54159"
"COFORGE","EQ","15-Jun-2021","       3908.45","       3925.45","       3989.00","       3925.45","       3939.00","       3944.85","       3958.28","     280264","          1109362249.50","      19965"
"COFORGE","EQ","16-Jun-2021","       3944.85","       3962.95","       4026.00","       3911.00","       3962.00","       3977.50","       3980.30","     451884","          1798633251.30","      32846"
"COFORGE","EQ","17-Jun-2021","       3977.50","       3963.70","       4015.55","       3941.15","       3974.65","       3978.60","       3982.28","     229866","           915391557.85","      17846"
"COFORGE","EQ","18-Jun-2021","       3978.60","       4010.00","       4048.85","       3870.00","       3990.00","       3971.05","       3972.02","     412475","          1638357148.50","      37313"
"COFORGE","EQ","21-Jun-2021","       3971.05","       3959.95","       4028.75","       3878.20","       3986.05","       4008.65","       3966.02","     299027","          1185946221.05","      24036"
"COFORGE","EQ","22-Jun-2021","       4008.65","       4044.75","       4044.75","       3963.25","       3976.95","       3978.65","       4008.78","     279225","          1119352485.15","      24703"
"COFORGE","EQ","23-Jun-2021","       3978.65","       3996.45","       4028.70","       3920.00","       3936.00","       3935.85","       3983.91","     297161","          1183861875.15","      22459"
"COFORGE","EQ","24-Jun-2021","       3935.85","       3964.00","       4090.00","       3947.80","       4082.00","       4072.85","       4017.92","     457117","          1836660662.85","      30647"
"COFORGE","EQ","25-Jun-2021","       4072.85","       4100.75","       4157.70","       4055.00","       4086.05","       4097.70","       4105.26","     548604","          2252159760.65","      47725"
"COFORGE","EQ","28-Jun-2021","       4097.70","       4110.00","       4138.00","       4065.00","       4094.45","       4122.45","       4110.10","     201561","           828436564.55","      14453"
"COFORGE","EQ","29-Jun-2021","       4122.45","       4121.85","       4121.85","       4032.00","       4060.00","       4061.30","       4059.29","     289428","          1174872126.00","      25554"
"COFORGE","EQ","30-Jun-2021","       4061.30","       4070.00","       4174.00","       4070.00","       4160.30","       4157.30","       4143.65","     390047","          1616217087.55","      29894"
"COFORGE","EQ","01-Jul-2021","       4157.30","       4159.90","       4205.10","       4106.50","       4201.00","       4193.60","       4159.51","     284271","          1182428836.10","      22079"
"COFORGE","EQ","02-Jul-2021","       4193.60","       4195.00","       4256.00","       4090.05","       4183.00","       4196.95","       4163.52","     713841","          2972094208.55","      47148"
"COFORGE","EQ","05-Jul-2021","       4196.95","       4201.00","       4279.00","       4180.05","       4220.00","       4219.20","       4227.14","     414482","          1752072251.40","      29252"
"COFORGE","EQ","06-Jul-2021","       4219.20","       4235.00","       4238.00","       4134.05","       4193.00","       4193.15","       4186.03","     453052","          1896488217.70","      32950"
"COFORGE","EQ","07-Jul-2021","       4193.15","       4190.00","       4259.00","       4120.05","       4246.75","       4245.05","       4199.35","     364907","          1532373471.35","      35269"
"COFORGE","EQ","08-Jul-2021","       4245.05","       4217.00","       4520.15","       4215.00","       4483.70","       4464.60","       4377.32","     862070","          3773555469.50","      58850"
"COFORGE","EQ","09-Jul-2021","       4464.60","       4449.00","       4479.00","       4295.00","       4355.00","       4356.55","       4367.77","     779102","          3402940205.95","      70392"
"COFORGE","EQ","12-Jul-2021","       4356.55","       4360.00","       4409.85","       4313.00","       4390.90","       4388.25","       4370.75","     398500","          1741742199.85","      55409"
"COFORGE","EQ","13-Jul-2021","       4388.25","       4400.00","       4419.75","       4300.00","       4335.00","       4320.35","       4354.03","     208757","           908933912.70","      22270"
