"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"HCLTECH","EQ","25-May-2021","        932.80","        938.00","        943.80","        935.15","        941.00","        940.60","        940.33","    5032874","          4732549771.05","     130222"
"HCLTECH","EQ","26-May-2021","        940.60","        940.00","        948.95","        932.55","        946.00","        945.80","        941.45","    5017674","          4723912196.55","     122694"
"HCLTECH","EQ","27-May-2021","        945.80","        949.00","        956.90","        938.10","        943.00","        942.40","        946.84","    9078274","          8595671031.90","     147589"
"HCLTECH","EQ","28-May-2021","        942.40","        940.05","        949.75","        937.40","        944.00","        942.55","        943.91","    4098094","          3868244727.50","     100104"
"HCLTECH","EQ","31-May-2021","        942.55","        941.55","        947.85","        932.60","        946.00","        945.20","        942.12","    4171524","          3930085610.05","      78150"
"HCLTECH","EQ","01-Jun-2021","        945.20","        948.00","        952.00","        942.05","        950.00","        950.70","        948.05","    2944472","          2791513542.60","      83295"
"HCLTECH","EQ","02-Jun-2021","        950.70","        947.00","        950.70","        937.60","        945.00","        943.75","        941.48","    3657189","          3443152840.55","      78053"
"HCLTECH","EQ","03-Jun-2021","        943.75","        945.00","        949.80","        937.00","        939.00","        939.45","        940.11","    4164240","          3914851063.65","     100377"
"HCLTECH","EQ","04-Jun-2021","        939.45","        940.10","        944.20","        934.75","        935.45","        936.55","        939.17","    3550303","          3334341915.25","      76212"
"HCLTECH","EQ","07-Jun-2021","        936.55","        939.00","        951.95","        937.10","        951.45","        949.60","        945.78","    3282517","          3104553113.10","      85146"
"HCLTECH","EQ","08-Jun-2021","        949.60","        952.00","        972.00","        951.45","        967.00","        967.20","        965.92","    6385642","          6168041606.50","     152721"
"HCLTECH","EQ","09-Jun-2021","        967.20","        973.90","        985.00","        965.10","        972.00","        971.30","        974.13","    5521459","          5378643321.20","     128350"
"HCLTECH","EQ","10-Jun-2021","        971.30","        979.50","        981.65","        966.55","        968.25","        968.55","        972.12","    3878256","          3770140244.60","      95725"
"HCLTECH","EQ","11-Jun-2021","        968.55","        976.00","        990.00","        970.50","        982.80","        983.35","        983.47","    4777035","          4698075395.30","     107510"
"HCLTECH","EQ","14-Jun-2021","        983.35","        983.00","        988.45","        976.00","        984.90","        984.20","        983.06","    2236373","          2198499290.40","      61546"
"HCLTECH","EQ","15-Jun-2021","        984.20","        985.10","        993.00","        983.20","        985.00","        985.45","        987.85","    2559001","          2527917580.65","      77275"
"HCLTECH","EQ","16-Jun-2021","        985.45","        984.05","        986.00","        974.00","        983.00","        979.40","        980.33","    3138753","          3077000647.45","     111172"
"HCLTECH","EQ","17-Jun-2021","        979.40","        980.00","        988.95","        978.55","        985.00","        986.40","        983.95","    3609989","          3552053853.05","     121395"
"HCLTECH","EQ","18-Jun-2021","        986.40","        990.00","        996.70","        970.10","        974.80","        975.25","        980.63","    5622783","          5513859655.75","     134661"
"HCLTECH","EQ","21-Jun-2021","        975.25","        968.00","        983.45","        961.25","        981.50","        982.00","        974.13","    1639495","          1597089098.95","      47795"
"HCLTECH","EQ","22-Jun-2021","        982.00","        982.10","        988.20","        976.25","        978.10","        980.10","        983.26","    2529648","          2487308325.15","      55440"
"HCLTECH","EQ","23-Jun-2021","        980.10","        985.00","        985.00","        971.00","        974.25","        972.90","        975.46","    2395543","          2336759070.05","      66794"
