"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"LTTS","EQ","25-May-2021","       2588.10","       2600.20","       2631.00","       2592.50","       2618.00","       2616.90","       2616.06","     183201","           479264298.00","      18852"
"LTTS","EQ","26-May-2021","       2616.90","       2630.00","       2715.00","       2610.65","       2708.95","       2704.15","       2677.96","     364185","           975273632.85","      23852"
"LTTS","EQ","27-May-2021","       2704.15","       2714.00","       2751.95","       2678.45","       2729.00","       2725.45","       2721.83","     343826","           935834721.65","      21248"
"LTTS","EQ","28-May-2021","       2725.45","       2735.00","       2747.90","       2694.00","       2702.15","       2705.25","       2713.26","      98747","           267925980.45","       9616"
"LTTS","EQ","31-May-2021","       2705.25","       2705.00","       2743.65","       2696.40","       2708.80","       2710.85","       2721.11","     121822","           331490834.20","      10026"
"LTTS","EQ","01-Jun-2021","       2710.85","       2712.00","       2730.90","       2676.00","       2689.95","       2687.00","       2695.98","     101899","           274717659.25","      10663"
"LTTS","EQ","02-Jun-2021","       2687.00","       2699.00","       2704.15","       2649.35","       2676.70","       2668.60","       2670.56","     129201","           345039238.80","      10198"
"LTTS","EQ","03-Jun-2021","       2668.60","       2667.00","       2709.75","       2667.00","       2700.00","       2701.65","       2694.51","     145050","           390838861.65","      10372"
"LTTS","EQ","04-Jun-2021","       2701.65","       2704.00","       2779.50","       2688.00","       2729.80","       2720.90","       2750.60","     432106","          1188551828.00","      21411"
"LTTS","EQ","07-Jun-2021","       2720.90","       2730.00","       2805.00","       2730.00","       2772.00","       2776.95","       2780.04","     447386","          1243748873.10","      26633"
"LTTS","EQ","08-Jun-2021","       2776.95","       2775.00","       2825.00","       2758.00","       2786.00","       2784.30","       2794.81","     320952","           896999234.00","      17442"
"LTTS","EQ","09-Jun-2021","       2784.30","       2786.00","       2838.00","       2715.00","       2745.00","       2738.60","       2794.26","     303668","           848527675.20","      27615"
"LTTS","EQ","10-Jun-2021","       2738.60","       2748.80","       2850.00","       2742.60","       2812.00","       2810.00","       2814.26","     412940","          1162119938.75","      24778"
"LTTS","EQ","11-Jun-2021","       2810.00","       2815.00","       2885.00","       2806.90","       2876.00","       2873.80","       2862.77","     437383","          1252125577.90","      27387"
"LTTS","EQ","14-Jun-2021","       2873.80","       2897.60","       2910.00","       2806.00","       2860.00","       2863.25","       2866.83","     287819","           825127640.35","      21003"
"LTTS","EQ","15-Jun-2021","       2863.25","       2860.00","       2882.00","       2843.20","       2863.25","       2859.45","       2861.42","     155077","           443740888.60","      12016"
"LTTS","EQ","16-Jun-2021","       2859.45","       2862.00","       2899.80","       2835.00","       2842.90","       2844.55","       2870.26","     146522","           420555665.75","      12540"
"LTTS","EQ","17-Jun-2021","       2844.55","       2835.00","       2855.55","       2753.85","       2812.00","       2808.20","       2810.48","     136929","           384836424.00","      12216"
"LTTS","EQ","18-Jun-2021","       2808.20","       2835.55","       2874.00","       2734.15","       2781.00","       2794.60","       2805.83","     227143","           637325423.75","      18800"
"LTTS","EQ","21-Jun-2021","       2794.60","       2770.00","       2817.15","       2720.00","       2795.00","       2806.55","       2772.87","     113232","           313978122.40","      10175"
"LTTS","EQ","22-Jun-2021","       2806.55","       2821.55","       2842.00","       2815.00","       2826.00","       2824.25","       2826.23","      91464","           258498514.65","       9487"
"LTTS","EQ","23-Jun-2021","       2824.25","       2826.80","       2855.00","       2820.00","       2828.95","       2825.20","       2834.13","     133258","           377670302.95","      13911"
"LTTS","EQ","24-Jun-2021","       2825.20","       2830.80","       2930.90","       2825.95","       2851.00","       2854.65","       2887.33","     436302","          1259748396.05","      29996"
"LTTS","EQ","25-Jun-2021","       2854.65","       2889.90","       2978.00","       2865.10","       2935.20","       2927.05","       2933.06","     431984","          1267033989.80","      32353"
"LTTS","EQ","28-Jun-2021","       2927.05","       2950.00","       2950.00","       2875.55","       2889.95","       2885.45","       2898.52","     117878","           341671631.35","      10116"
"LTTS","EQ","29-Jun-2021","       2885.45","       2887.80","       2923.05","       2860.35","       2899.20","       2892.75","       2883.69","     129858","           374470421.60","      21206"
"LTTS","EQ","30-Jun-2021","       2892.75","       2908.00","       2942.00","       2886.00","       2886.00","       2903.10","       2911.80","     139672","           406696385.20","      14893"
"LTTS","EQ","01-Jul-2021","       2903.10","       2909.00","       2924.00","       2867.50","       2913.95","       2892.60","       2892.05","     102743","           297137519.95","       7929"
"LTTS","EQ","02-Jul-2021","       2892.60","       2913.00","       2926.70","       2868.60","       2879.00","       2877.20","       2884.72","     106510","           307251191.60","       9934"
"LTTS","EQ","05-Jul-2021","       2877.20","       2890.00","       2932.00","       2879.45","       2915.00","       2899.90","       2902.39","     148662","           431475242.85","      11828"
"LTTS","EQ","06-Jul-2021","       2899.90","       2918.00","       2962.65","       2881.15","       2900.00","       2893.50","       2922.85","     216360","           632387098.35","      17968"
