"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"MINDTREE","EQ","25-May-2021","       2136.70","       2145.05","       2188.00","       2136.70","       2166.75","       2171.80","       2169.73","     683155","          1482264218.35","      34132"
"MINDTREE","EQ","26-May-2021","       2171.80","       2184.00","       2214.80","       2163.55","       2210.00","       2207.35","       2190.49","     768155","          1682638796.75","      38821"
"MINDTREE","EQ","27-May-2021","       2207.35","       2218.35","       2342.65","       2215.00","       2312.00","       2310.25","       2305.51","    3644886","          8403330495.50","     157921"
"MINDTREE","EQ","28-May-2021","       2310.25","       2322.00","       2365.00","       2283.35","       2355.00","       2355.60","       2335.28","    1542961","          3603252152.65","      65211"
"MINDTREE","EQ","31-May-2021","       2355.60","       2365.00","       2405.00","       2346.05","       2391.00","       2394.35","       2383.96","    1590758","          3792301929.00","      88879"
"MINDTREE","EQ","01-Jun-2021","       2394.35","       2407.35","       2424.00","       2372.05","       2414.00","       2418.30","       2401.64","     710768","          1707009075.05","      29648"
"MINDTREE","EQ","02-Jun-2021","       2418.30","       2412.10","       2412.10","       2341.10","       2387.00","       2387.30","       2369.55","     947744","          2245731149.25","      44048"
"MINDTREE","EQ","03-Jun-2021","       2387.30","       2390.00","       2399.90","       2360.05","       2373.45","       2371.05","       2373.05","     432182","          1025588932.65","      22099"
"MINDTREE","EQ","04-Jun-2021","       2371.05","       2358.30","       2416.00","       2351.00","       2369.00","       2369.95","       2379.27","     533219","          1268673390.50","      26837"
"MINDTREE","EQ","07-Jun-2021","       2369.95","       2381.00","       2417.00","       2365.10","       2410.00","       2407.70","       2397.38","     458288","          1098688477.15","      21385"
"MINDTREE","EQ","08-Jun-2021","       2407.70","       2417.00","       2464.00","       2395.50","       2441.00","       2441.15","       2440.10","    1457271","          3555889993.20","      59950"
"MINDTREE","EQ","09-Jun-2021","       2441.15","       2450.00","       2470.00","       2402.20","       2426.75","       2419.20","       2443.19","     622079","          1519857840.15","      34117"
"MINDTREE","EQ","10-Jun-2021","       2419.20","       2430.00","       2449.05","       2422.40","       2441.70","       2439.00","       2435.32","     294721","           717739155.80","      14598"
"MINDTREE","EQ","11-Jun-2021","       2439.00","       2449.15","       2495.00","       2443.40","       2459.00","       2453.65","       2466.35","     694451","          1712759143.10","      34065"
"MINDTREE","EQ","14-Jun-2021","       2453.65","       2459.00","       2475.00","       2424.95","       2464.75","       2467.70","       2458.39","     420525","          1033813217.10","      27690"
"MINDTREE","EQ","15-Jun-2021","       2467.70","       2475.00","       2487.55","       2458.00","       2468.90","       2469.70","       2474.29","     273589","           676938443.95","      23459"
"MINDTREE","EQ","16-Jun-2021","       2469.70","       2472.00","       2485.00","       2435.40","       2467.35","       2466.65","       2466.07","     354244","           873589198.95","      28334"
"MINDTREE","EQ","17-Jun-2021","       2466.65","       2464.00","       2508.00","       2450.00","       2480.00","       2477.45","       2481.17","     511391","          1268848515.60","      32423"
"MINDTREE","EQ","18-Jun-2021","       2477.45","       2487.80","       2525.00","       2425.10","       2474.80","       2472.00","       2485.89","     668819","          1662609885.45","      36779"
"MINDTREE","EQ","21-Jun-2021","       2472.00","       2450.00","       2498.00","       2438.00","       2498.00","       2487.95","       2469.00","     254061","           627276546.70","      15020"
"MINDTREE","EQ","22-Jun-2021","       2487.95","       2499.00","       2507.45","       2476.00","       2481.50","       2480.65","       2493.82","     263169","           656296052.70","      13346"
"MINDTREE","EQ","23-Jun-2021","       2480.65","       2491.50","       2507.00","       2475.45","       2480.00","       2480.65","       2490.51","     246387","           613628640.35","      14072"
"MINDTREE","EQ","24-Jun-2021","       2480.65","       2478.10","       2547.60","       2478.10","       2537.00","       2532.70","       2523.46","     809134","          2041821009.25","      36680"
"MINDTREE","EQ","25-Jun-2021","       2532.70","       2553.00","       2573.65","       2515.50","       2541.00","       2552.85","       2543.91","     558113","          1419790404.75","      34528"
"MINDTREE","EQ","28-Jun-2021","       2552.85","       2551.10","       2567.65","       2516.60","       2546.70","       2551.50","       2541.98","     360267","           915793124.15","      22617"
"MINDTREE","EQ","29-Jun-2021","       2551.50","       2550.00","       2589.35","       2543.10","       2589.35","       2581.80","       2574.57","     463308","          1192817290.35","      24233"
"MINDTREE","EQ","30-Jun-2021","       2581.80","       2592.00","       2618.35","       2580.50","       2598.00","       2600.50","       2601.38","     617163","          1605474335.25","      39534"
"MINDTREE","EQ","01-Jul-2021","       2600.50","       2600.00","       2600.50","       2571.00","       2581.70","       2581.05","       2585.05","     323771","           836963418.85","      31985"
"MINDTREE","EQ","02-Jul-2021","       2581.05","       2582.30","       2588.50","       2535.60","       2574.05","       2583.10","       2566.99","     373108","           957762999.55","      31562"
"MINDTREE","EQ","05-Jul-2021","       2583.10","       2569.75","       2598.00","       2551.75","       2559.00","       2556.10","       2571.56","     364935","           938451797.10","      22838"
"MINDTREE","EQ","06-Jul-2021","       2556.10","       2559.90","       2573.50","       2524.00","       2547.85","       2541.80","       2551.29","     311818","           795539564.40","      19620"
"MINDTREE","EQ","07-Jul-2021","       2541.80","       2543.10","       2561.70","       2502.20","       2552.45","       2549.60","       2536.83","     436797","          1108081197.55","      22981"
"MINDTREE","EQ","08-Jul-2021","       2549.60","       2559.00","       2561.95","       2512.00","       2522.00","       2522.70","       2526.11","     359535","           908224823.65","      23997"
"MINDTREE","EQ","09-Jul-2021","       2522.70","       2531.95","       2571.70","       2511.00","       2527.75","       2535.75","       2542.07","     704294","          1790363280.45","      48689"
"MINDTREE","EQ","12-Jul-2021","       2535.75","       2541.75","       2549.90","       2487.40","       2496.60","       2497.10","       2517.29","     384241","           967246233.90","      26734"
"MINDTREE","EQ","13-Jul-2021","       2497.10","       2505.00","       2508.65","       2457.55","       2504.95","       2495.70","       2483.19","     622640","          1546131355.30","      38263"
"MINDTREE","EQ","14-Jul-2021","       2495.70","       2599.50","       2728.90","       2552.05","       2696.80","       2703.05","       2679.17","    8325238","         22304700970.30","     334582"
"MINDTREE","EQ","15-Jul-2021","       2703.05","       2698.50","       2740.00","       2670.25","       2731.20","       2732.10","       2719.27","    2215615","          6024861989.30","      93593"
"MINDTREE","EQ","16-Jul-2021","       2732.10","       2731.20","       2744.00","       2710.00","       2736.00","       2736.20","       2729.89","     746375","          2037521640.15","      33460"
"MINDTREE","EQ","19-Jul-2021","       2736.20","       2734.40","       2793.55","       2714.35","       2739.80","       2729.65","       2746.82","    1038483","          2852525981.90","      45448"
"MINDTREE","EQ","20-Jul-2021","       2729.65","       2740.00","       2783.50","       2705.00","       2766.00","       2762.95","       2746.66","    1071239","          2942333110.70","      51147"
"MINDTREE","EQ","22-Jul-2021","       2762.95","       2765.00","       2774.00","       2730.60","       2751.00","       2758.80","       2755.17","     553160","          1524047589.95","      34993"
"MINDTREE","EQ","23-Jul-2021","       2758.80","       2759.85","       2789.30","       2708.05","       2724.00","       2721.25","       2745.75","     718806","          1973662259.85","      35064"
"MINDTREE","EQ","26-Jul-2021","       2721.25","       2724.80","       2754.00","       2712.50","       2716.20","       2721.30","       2733.43","     406600","          1111411693.40","      27909"
"MINDTREE","EQ","27-Jul-2021","       2721.30","       2726.80","       2746.00","       2701.00","       2720.00","       2713.90","       2722.02","     276385","           752324964.40","      16757"
"MINDTREE","EQ","28-Jul-2021","       2713.90","       2713.00","       2729.00","       2675.75","       2725.05","       2708.80","       2698.64","     305422","           824224079.45","      15130"
"MINDTREE","EQ","29-Jul-2021","       2708.80","       2729.00","       2814.00","       2725.30","       2809.00","       2795.50","       2775.53","     813518","          2257940640.35","      41473"
"MINDTREE","EQ","30-Jul-2021","       2795.50","       2800.00","       2944.00","       2794.00","       2862.00","       2865.20","       2885.94","    1595656","          4604960165.70","      72361"
"MINDTREE","EQ","02-Aug-2021","       2865.20","       2884.50","       2903.35","       2849.05","       2893.10","       2894.20","       2875.23","     317319","           912364385.40","      22198"
"MINDTREE","EQ","03-Aug-2021","       2894.20","       2909.00","       2917.75","       2877.00","       2885.00","       2884.10","       2895.13","     301517","           872929791.85","      27445"
"MINDTREE","EQ","04-Aug-2021","       2884.10","       2888.00","       2898.40","       2823.30","       2835.00","       2830.20","       2847.66","     439060","          1250295422.10","      37536"
"MINDTREE","EQ","05-Aug-2021","       2830.20","       2830.20","       2919.40","       2825.35","       2841.10","       2834.55","       2870.61","     748211","          2147824430.45","      44624"
"MINDTREE","EQ","06-Aug-2021","       2834.55","       2848.55","       2870.00","       2815.00","       2841.95","       2841.70","       2843.96","     279254","           794187961.90","      17405"
"MINDTREE","EQ","09-Aug-2021","       2841.70","       2851.00","       2868.50","       2797.00","       2818.95","       2811.50","       2822.42","     319617","           902093017.80","      22051"
"MINDTREE","EQ","10-Aug-2021","       2811.50","       2830.00","       2845.00","       2785.30","       2796.05","       2797.75","       2817.74","     385098","          1085107308.20","      22789"
"MINDTREE","EQ","11-Aug-2021","       2797.75","       2800.00","       2822.00","       2760.00","       2806.10","       2804.55","       2789.25","     369936","          1031842241.70","      34259"
"MINDTREE","EQ","12-Aug-2021","       2804.55","       2806.50","       2935.00","       2804.55","       2921.90","       2925.70","       2891.14","    1187926","          3434459332.40","      65349"
"MINDTREE","EQ","13-Aug-2021","       2925.70","       2930.00","       2953.15","       2910.25","       2920.00","       2920.95","       2929.61","     564006","          1652316878.10","      34616"
"MINDTREE","EQ","16-Aug-2021","       2920.95","       2927.90","       2997.95","       2892.00","       2899.50","       2905.35","       2941.19","     726883","          2137903847.90","      46852"
"MINDTREE","EQ","17-Aug-2021","       2905.35","       2908.00","       3028.65","       2908.00","       3028.65","       3017.30","       2984.81","    1172628","          3500073617.15","      66790"
"MINDTREE","EQ","18-Aug-2021","       3017.30","       3033.20","       3243.00","       3019.00","       3195.00","       3196.30","       3171.40","    3128081","          9920408992.50","     160463"
"MINDTREE","EQ","20-Aug-2021","       3196.30","       3128.00","       3400.00","       3120.00","       3347.95","       3345.05","       3337.46","    4092939","         13660007858.20","     232756"
"MINDTREE","EQ","23-Aug-2021","       3345.05","       3375.00","       3535.00","       3350.00","       3510.00","       3500.70","       3472.20","    3191119","         11080199367.25","     189712"
"MINDTREE","EQ","24-Aug-2021","       3500.70","       3524.00","       3594.60","       3405.55","       3509.00","       3500.45","       3501.44","    2927125","         10249146891.25","     169232"
