"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"MPHASIS","EQ","25-May-2021","       1829.95","       1830.00","       1913.75","       1828.75","       1878.20","       1880.40","       1880.11","    1057299","          1987841293.20","      51619"
"MPHASIS","EQ","26-May-2021","       1880.40","       1886.90","       1929.50","       1882.25","       1915.00","       1914.05","       1909.38","     786050","          1500866822.75","      40350"
"MPHASIS","EQ","27-May-2021","       1914.05","       1919.90","       2009.95","       1916.45","       1966.75","       1968.75","       1972.89","    1107586","          2185148957.15","      63515"
"MPHASIS","EQ","28-May-2021","       1968.75","       1979.00","       1995.00","       1921.00","       1943.00","       1936.10","       1953.97","     827508","          1616922643.50","      30315"
"MPHASIS","EQ","31-May-2021","       1936.10","       1950.80","       1965.00","       1935.30","       1945.05","       1944.35","       1948.35","     269385","           524856635.90","      20229"
"MPHASIS","EQ","01-Jun-2021","       1944.35","       1950.00","       1958.80","       1905.25","       1957.00","       1950.00","       1935.24","     230031","           445165584.40","      13947"
"MPHASIS","EQ","02-Jun-2021","       1950.00","       1950.00","       1955.00","       1903.25","       1912.80","       1907.60","       1917.96","     490512","           940784513.85","      21491"
"MPHASIS","EQ","03-Jun-2021","       1907.60","       1922.00","       1928.85","       1875.00","       1921.70","       1919.70","       1899.86","     385166","           731760931.30","      21282"
"MPHASIS","EQ","04-Jun-2021","       1919.70","       1927.00","       1948.85","       1902.00","       1907.50","       1909.45","       1924.79","     325694","           626892913.85","      17576"
"MPHASIS","EQ","07-Jun-2021","       1909.45","       1919.00","       1974.00","       1914.00","       1972.00","       1964.90","       1954.42","     521073","          1018395491.55","      22558"
"MPHASIS","EQ","08-Jun-2021","       1964.90","       1973.00","       1983.70","       1916.35","       1932.85","       1932.50","       1944.47","     531921","          1034301787.20","      27505"
"MPHASIS","EQ","09-Jun-2021","       1932.50","       1950.00","       1969.80","       1911.00","       1920.00","       1918.25","       1945.35","     452593","           880451959.45","      23660"
"MPHASIS","EQ","10-Jun-2021","       1918.25","       1927.85","       1972.00","       1914.95","       1966.70","       1964.20","       1951.03","     456342","           890338351.00","      21420"
"MPHASIS","EQ","11-Jun-2021","       1964.20","       1980.00","       2069.00","       1965.25","       2000.90","       2009.75","       2025.41","    1889149","          3826307511.45","      82610"
"MPHASIS","EQ","14-Jun-2021","       2009.75","       2018.00","       2037.00","       1974.50","       1993.95","       1994.75","       2011.88","     557037","          1120689131.60","      29223"
"MPHASIS","EQ","15-Jun-2021","       1994.75","       1994.00","       2071.05","       1990.00","       2059.90","       2061.45","       2037.84","     842577","          1717040154.00","      55851"
"MPHASIS","EQ","16-Jun-2021","       2061.45","       2050.00","       2110.00","       2031.00","       2095.50","       2098.75","       2086.91","    1039899","          2170180539.90","      45743"
"MPHASIS","EQ","17-Jun-2021","       2098.75","       2098.50","       2133.55","       2019.50","       2051.00","       2039.55","       2073.94","     851840","          1766661849.05","      53394"
"MPHASIS","EQ","18-Jun-2021","       2039.55","       2059.40","       2099.90","       1993.60","       2038.50","       2032.85","       2040.14","    1089882","          2223510605.75","      55267"
"MPHASIS","EQ","21-Jun-2021","       2032.85","       2030.00","       2057.95","       1974.00","       2040.00","       2047.25","       2009.03","     434930","           873787764.75","      24202"
"MPHASIS","EQ","22-Jun-2021","       2047.25","       2055.00","       2085.00","       2002.00","       2015.00","       2008.90","       2038.66","     412384","           840709021.10","      23030"
"MPHASIS","EQ","23-Jun-2021","       2008.90","       2032.65","       2038.75","       1980.00","       1989.85","       1985.30","       2002.88","     252588","           505903766.25","      14945"
"MPHASIS","EQ","24-Jun-2021","       1985.30","       1989.85","       2073.30","       1989.85","       2043.10","       2049.10","       2030.05","    1025993","          2082816148.00","      44373"
"MPHASIS","EQ","25-Jun-2021","       2049.10","       2055.50","       2087.55","       2044.00","       2061.95","       2067.15","       2071.55","     526840","          1091372839.15","      30332"
"MPHASIS","EQ","28-Jun-2021","       2067.15","       2067.20","       2080.00","       2040.10","       2044.05","       2049.40","       2059.27","     175489","           361379177.15","      16444"
"MPHASIS","EQ","29-Jun-2021","       2049.40","       2054.95","       2094.00","       2030.60","       2086.50","       2086.15","       2066.27","     480765","           993388399.00","      29963"
"MPHASIS","EQ","30-Jun-2021","       2086.15","       2095.00","       2144.30","       2076.05","       2134.80","       2134.20","       2112.28","     653567","          1380518334.15","      37653"
"MPHASIS","EQ","01-Jul-2021","       2134.20","       2136.95","       2184.00","       2110.00","       2161.00","       2171.80","       2147.69","     533962","          1146783071.55","      27011"
"MPHASIS","EQ","02-Jul-2021","       2171.80","       2161.00","       2199.40","       2111.10","       2165.00","       2154.95","       2149.07","     666544","          1432449329.40","      41089"
"MPHASIS","EQ","05-Jul-2021","       2154.95","       2178.15","       2204.90","       2104.00","       2122.50","       2114.20","       2156.83","     768600","          1657740007.35","      48563"
"MPHASIS","EQ","06-Jul-2021","       2114.20","       2124.80","       2141.85","       2111.45","       2130.00","       2126.90","       2125.74","     315862","           671440678.90","      21918"
"MPHASIS","EQ","07-Jul-2021","       2126.90","       2138.85","       2185.40","       2105.05","       2163.50","       2173.70","       2150.38","     477903","          1027672919.60","      26312"
"MPHASIS","EQ","08-Jul-2021","       2173.70","       2174.00","       2215.00","       2160.00","       2175.55","       2176.40","       2183.75","     460524","          1005671450.50","      26811"
"MPHASIS","EQ","09-Jul-2021","       2176.40","       2177.00","       2269.00","       2177.00","       2227.05","       2229.30","       2231.36","    1374846","          3067782414.00","      84874"
"MPHASIS","EQ","12-Jul-2021","       2229.30","       2257.10","       2257.10","       2208.00","       2212.20","       2215.10","       2225.34","     273006","           607531166.00","      19222"
"MPHASIS","EQ","13-Jul-2021","       2215.10","       2228.00","       2241.00","       2165.10","       2189.00","       2190.95","       2191.54","     405618","           888927052.05","      28250"
"MPHASIS","EQ","14-Jul-2021","       2190.95","       2201.00","       2397.70","       2200.15","       2370.00","       2375.50","       2319.07","    2140671","          4964371103.85","     114882"
"MPHASIS","EQ","15-Jul-2021","       2375.50","       2375.50","       2407.35","       2331.90","       2388.00","       2389.00","       2377.94","     885491","          2105642572.10","      50804"
"MPHASIS","EQ","16-Jul-2021","       2389.00","       2389.00","       2421.95","       2346.40","       2399.00","       2390.20","       2366.38","     432057","          1022410228.80","      42221"
"MPHASIS","EQ","19-Jul-2021","       2390.20","       2390.20","       2407.25","       2330.95","       2338.00","       2342.80","       2356.55","     503783","          1187191794.65","      46996"
"MPHASIS","EQ","20-Jul-2021","       2342.80","       2345.05","       2403.30","       2266.80","       2374.40","       2368.50","       2347.12","     733341","          1721238831.50","      58507"
"MPHASIS","EQ","22-Jul-2021","       2368.50","       2405.15","       2450.00","       2363.25","       2386.25","       2397.40","       2405.05","    1055208","          2537824415.15","      53341"
"MPHASIS","EQ","23-Jul-2021","       2397.40","       2565.00","       2677.00","       2472.05","       2512.00","       2530.15","       2575.72","    6346868","         16347748236.50","     242828"
"MPHASIS","EQ","26-Jul-2021","       2530.15","       2512.00","       2634.70","       2473.95","       2593.00","       2589.15","       2581.34","    1525148","          3936929589.65","      92348"
"MPHASIS","EQ","27-Jul-2021","       2589.15","       2600.00","       2616.95","       2563.05","       2595.00","       2596.60","       2595.42","     517705","          1343663974.10","      32709"
"MPHASIS","EQ","28-Jul-2021","       2596.60","       2595.00","       2628.45","       2543.35","       2577.50","       2587.70","       2583.57","     547211","          1413756562.80","      38575"
"MPHASIS","EQ","29-Jul-2021","       2587.70","       2591.00","       2677.50","       2563.00","       2670.00","       2669.60","       2615.61","     868934","          2272790231.60","      57126"
"MPHASIS","EQ","30-Jul-2021","       2669.60","       2668.00","       2668.95","       2582.65","       2610.10","       2599.75","       2630.11","     584986","          1538578832.05","      40028"
"MPHASIS","EQ","02-Aug-2021","       2599.75","       2619.50","       2644.85","       2602.00","       2626.00","       2626.80","       2629.92","     321213","           844763429.50","      26271"
