"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TECHM","EQ","24-May-2021","        980.50","        979.80","        994.00","        975.10","        983.30","        983.70","        987.83","    1830838","          1808554981.20","      40687"
"TECHM","EQ","25-May-2021","        983.70","        990.05","       1001.70","        983.80","        994.00","        992.65","        993.53","    2719646","          2702041038.15","      74641"
"TECHM","EQ","26-May-2021","        992.65","        995.65","       1012.00","        993.00","       1007.75","       1007.80","       1005.20","    2013788","          2024263565.55","      59994"
"TECHM","EQ","27-May-2021","       1007.80","       1007.00","       1032.00","       1006.90","       1027.05","       1019.80","       1020.54","    6393813","          6525116601.40","      99460"
"TECHM","EQ","28-May-2021","       1019.80","       1020.00","       1033.00","       1012.60","       1026.00","       1026.25","       1024.20","    1839013","          1883523703.10","      57871"
"TECHM","EQ","31-May-2021","       1026.25","       1025.00","       1032.00","       1013.00","       1025.00","       1021.65","       1022.41","    1801746","          1842114288.40","      69689"
"TECHM","EQ","01-Jun-2021","       1021.65","       1024.70","       1032.00","       1013.35","       1030.50","       1030.50","       1024.55","    1262702","          1293707078.40","      39937"
"TECHM","EQ","02-Jun-2021","       1030.50","       1020.20","       1024.70","        994.00","       1017.80","       1016.95","       1009.72","    5252186","          5303233649.60","     107648"
"TECHM","EQ","03-Jun-2021","       1016.95","       1016.95","       1020.75","       1007.00","       1017.00","       1014.35","       1012.64","    2024676","          2050257833.55","      51002"
"TECHM","EQ","04-Jun-2021","       1014.35","       1019.55","       1026.95","       1011.00","       1020.00","       1019.20","       1019.58","    2315912","          2361247956.70","      42983"
"TECHM","EQ","07-Jun-2021","       1019.20","       1024.95","       1038.95","       1019.45","       1038.00","       1034.40","       1027.90","    1745475","          1794178747.05","      37736"
"TECHM","EQ","08-Jun-2021","       1034.40","       1039.00","       1060.90","       1037.05","       1058.00","       1057.75","       1054.10","    4517995","          4762433593.90","     109168"
"TECHM","EQ","09-Jun-2021","       1057.75","       1057.75","       1064.45","       1046.20","       1056.00","       1052.25","       1057.51","    2163655","          2288081022.10","      59015"
"TECHM","EQ","10-Jun-2021","       1052.25","       1059.70","       1074.00","       1056.50","       1064.50","       1064.90","       1067.51","    3934077","          4199677664.05","     118480"
"TECHM","EQ","11-Jun-2021","       1064.90","       1064.90","       1082.40","       1054.90","       1073.00","       1073.00","       1072.37","    4988857","          5349888609.65","      98394"
"TECHM","EQ","14-Jun-2021","       1073.00","       1073.00","       1079.35","       1058.00","       1069.30","       1069.25","       1071.21","    2757666","          2954050722.95","      82864"
"TECHM","EQ","15-Jun-2021","       1069.25","       1069.25","       1093.00","       1061.65","       1065.00","       1066.85","       1076.87","    3484298","          3752147765.45","      84287"
"TECHM","EQ","16-Jun-2021","       1066.85","       1070.00","       1077.95","       1055.00","       1064.50","       1069.15","       1067.77","    1881596","          2009120810.65","      51956"
"TECHM","EQ","17-Jun-2021","       1069.15","       1059.95","       1084.70","       1057.05","       1083.10","       1080.25","       1071.97","    3161931","          3389490625.90","      99482"
"TECHM","EQ","18-Jun-2021","       1080.25","       1089.50","       1091.60","       1055.00","       1068.60","       1070.70","       1073.33","    4396398","          4718767299.80","      93019"
"TECHM","EQ","21-Jun-2021","       1070.70","       1059.00","       1070.05","       1055.00","       1061.80","       1062.90","       1062.65","    1074790","          1142125528.55","      40228"
"TECHM","EQ","22-Jun-2021","       1062.90","       1061.05","       1072.00","       1053.70","       1054.40","       1057.20","       1060.38","    2437289","          2584450114.10","      63027"
"TECHM","EQ","23-Jun-2021","       1057.20","       1060.00","       1062.30","       1038.45","       1056.00","       1056.45","       1052.65","    4130539","          4348027008.95","     102816"
"TECHM","EQ","24-Jun-2021","       1056.45","       1056.55","       1082.30","       1052.50","       1080.00","       1080.00","       1069.16","    3617010","          3867162077.35","     105332"
"TECHM","EQ","25-Jun-2021","       1080.00","       1087.40","       1103.20","       1077.00","       1085.95","       1089.50","       1090.65","    3200049","          3490121301.75","      73477"
"TECHM","EQ","28-Jun-2021","       1089.50","       1091.00","       1108.00","       1081.10","       1105.05","       1105.10","       1097.40","    2143755","          2352551584.20","      50162"
"TECHM","EQ","29-Jun-2021","       1105.10","       1109.00","       1109.40","       1083.00","       1088.95","       1088.15","       1095.11","    2956332","          3237521521.85","      64875"
"TECHM","EQ","30-Jun-2021","       1088.15","       1088.20","       1105.00","       1083.30","       1096.70","       1095.45","       1096.06","    1917370","          2101552386.75","      47775"
"TECHM","EQ","01-Jul-2021","       1095.45","       1096.00","       1099.35","       1081.00","       1085.65","       1085.15","       1087.08","    1459518","          1586616040.75","      49293"
"TECHM","EQ","02-Jul-2021","       1085.15","       1087.00","       1097.50","       1075.00","       1089.50","       1089.40","       1085.06","    1669409","          1811416199.70","      59484"
"TECHM","EQ","05-Jul-2021","       1089.40","       1093.00","       1094.95","       1071.20","       1072.20","       1074.65","       1080.45","    2597359","          2806324841.55","      47315"
"TECHM","EQ","06-Jul-2021","       1074.65","       1074.65","       1074.65","       1047.75","       1050.00","       1049.55","       1057.39","    3865594","          4087438822.90","      82030"
"TECHM","EQ","07-Jul-2021","       1049.55","       1049.55","       1059.50","       1030.10","       1047.50","       1045.90","       1047.11","    3713891","          3888837942.95","      91334"
"TECHM","EQ","08-Jul-2021","       1045.90","       1049.00","       1063.40","       1045.00","       1060.40","       1060.15","       1055.09","    2171947","          2291605194.75","      55921"
"TECHM","EQ","09-Jul-2021","       1060.15","       1055.20","       1068.80","       1049.00","       1051.00","       1051.75","       1057.39","    1889035","          1997453809.30","      67078"
"TECHM","EQ","12-Jul-2021","       1051.75","       1057.00","       1058.70","       1046.10","       1057.00","       1056.60","       1053.85","    3224820","          3398490567.90","     118828"
"TECHM","EQ","13-Jul-2021","       1056.60","       1062.00","       1062.00","       1048.00","       1050.40","       1050.15","       1052.00","    1908081","          2007299426.00","     100702"
"TECHM","EQ","14-Jul-2021","       1050.15","       1054.00","       1080.00","       1048.00","       1077.00","       1078.50","       1071.96","    3173326","          3401669275.40","      77638"
"TECHM","EQ","15-Jul-2021","       1078.50","       1078.00","       1119.70","       1076.40","       1109.25","       1112.45","       1105.16","    5922995","          6545859152.65","     130433"
"TECHM","EQ","16-Jul-2021","       1112.45","       1112.40","       1118.30","       1083.05","       1102.90","       1103.15","       1096.47","    2323939","          2548129861.75","     100657"
"TECHM","EQ","19-Jul-2021","       1103.15","       1088.00","       1110.45","       1086.10","       1096.00","       1094.20","       1097.79","    1409001","          1546794195.85","      42229"
"TECHM","EQ","20-Jul-2021","       1094.20","       1095.95","       1102.20","       1084.90","       1085.00","       1087.20","       1092.00","    1230858","          1344090947.10","      54437"
"TECHM","EQ","22-Jul-2021","       1087.20","       1080.00","       1152.50","       1080.00","       1146.00","       1148.60","       1126.69","    7309727","          8235815228.25","     158825"
"TECHM","EQ","23-Jul-2021","       1148.60","       1123.95","       1141.50","       1115.10","       1129.00","       1131.00","       1129.90","    2840803","          3209821635.75","      76687"
"TECHM","EQ","26-Jul-2021","       1131.00","       1131.00","       1138.55","       1116.55","       1117.85","       1120.20","       1126.82","     984581","          1109443503.80","      41727"
"TECHM","EQ","27-Jul-2021","       1120.20","       1120.20","       1127.70","       1104.05","       1123.25","       1120.85","       1113.89","    1397105","          1556220091.00","      39146"
"TECHM","EQ","28-Jul-2021","       1120.85","       1124.00","       1130.70","       1106.50","       1128.10","       1119.55","       1117.76","    2533035","          2831315466.25","      63357"
"TECHM","EQ","29-Jul-2021","       1119.55","       1128.70","       1141.35","       1115.10","       1127.90","       1127.80","       1129.97","    3821405","          4318090190.25","     102399"
"TECHM","EQ","30-Jul-2021","       1127.80","       1185.00","       1237.30","       1175.00","       1207.70","       1209.55","       1213.59","   20425030","         24787656227.40","     413583"
"TECHM","EQ","02-Aug-2021","       1209.55","       1210.00","       1214.00","       1195.55","       1206.00","       1210.70","       1203.63","    2385223","          2870926966.80","      87426"
"TECHM","EQ","03-Aug-2021","       1210.70","       1211.00","       1230.00","       1210.00","       1225.95","       1226.25","       1223.58","    2603616","          3185735468.75","      70849"
"TECHM","EQ","04-Aug-2021","       1226.25","       1225.20","       1230.40","       1213.70","       1219.00","       1216.50","       1218.59","    1938175","          2361832849.75","      70384"
"TECHM","EQ","05-Aug-2021","       1216.50","       1217.05","       1254.00","       1217.00","       1249.90","       1248.20","       1242.38","    5790873","          7194437695.40","     150663"
"TECHM","EQ","06-Aug-2021","       1248.20","       1252.00","       1273.00","       1243.05","       1268.00","       1264.60","       1262.41","    3894726","          4916752783.90","     117731"
"TECHM","EQ","09-Aug-2021","       1264.60","       1290.40","       1306.80","       1266.00","       1289.00","       1287.45","       1285.21","    6585101","          8463222105.25","     170338"
"TECHM","EQ","10-Aug-2021","       1287.45","       1288.00","       1329.70","       1282.40","       1323.00","       1323.05","       1314.34","    6314469","          8299342336.30","     136841"
"TECHM","EQ","11-Aug-2021","       1323.05","       1323.05","       1326.75","       1298.35","       1320.95","       1323.60","       1315.74","    3430349","          4513450656.55","     102017"
"TECHM","EQ","12-Aug-2021","       1323.60","       1323.00","       1394.80","       1317.75","       1383.00","       1386.55","       1369.05","    8613315","         11792064706.60","     198057"
"TECHM","EQ","13-Aug-2021","       1386.55","       1380.10","       1390.00","       1365.90","       1383.35","       1383.15","       1378.91","    4760344","          6564092550.70","     117785"
"TECHM","EQ","16-Aug-2021","       1383.15","       1381.95","       1399.95","       1360.25","       1370.00","       1367.85","       1372.77","    2912430","          3998099405.85","      96240"
"TECHM","EQ","17-Aug-2021","       1367.85","       1372.00","       1428.80","       1370.50","       1410.95","       1413.70","       1413.09","    8042970","         11365414154.90","     197467"
"TECHM","EQ","18-Aug-2021","       1413.70","       1418.00","       1425.00","       1404.25","       1412.00","       1412.50","       1413.00","    2939739","          4153843972.15","     102264"
"TECHM","EQ","20-Aug-2021","       1412.50","       1370.65","       1420.00","       1370.65","       1396.00","       1399.20","       1400.61","    4051399","          5674441821.80","     113777"
"TECHM","EQ","23-Aug-2021","       1399.20","       1415.45","       1442.95","       1409.00","       1414.95","       1416.00","       1425.46","    3987240","          5683644186.20","     114689"
"TECHM","EQ","24-Aug-2021","       1416.00","       1421.90","       1467.00","       1420.00","       1461.10","       1463.35","       1449.94","    5366923","          7781740902.70","     128799"
"TECHM","EQ","25-Aug-2021","       1463.35","       1463.00","       1478.00","       1450.00","       1461.90","       1463.10","       1464.51","    3105863","          4548555944.00","      92535"
"TECHM","EQ","26-Aug-2021","       1463.10","       1459.80","       1466.75","       1444.00","       1449.00","       1449.50","       1452.92","    1993944","          2897047055.75","      62041"
"TECHM","EQ","27-Aug-2021","       1449.50","       1449.85","       1457.10","       1431.20","       1440.80","       1445.40","       1445.53","    3097939","          4478155625.15","      82170"
"TECHM","EQ","30-Aug-2021","       1445.40","       1450.00","       1455.00","       1415.90","       1424.80","       1419.20","       1429.01","    2742699","          3919336340.35","     108463"
"TECHM","EQ","31-Aug-2021","       1419.20","       1424.80","       1454.00","       1406.95","       1450.15","       1447.65","       1431.36","    6392991","          9150668700.30","     152978"
"TECHM","EQ","01-Sep-2021","       1447.65","       1450.00","       1468.25","       1427.50","       1434.40","       1436.30","       1440.54","    1829925","          2636071964.70","      67328"
"TECHM","EQ","02-Sep-2021","       1436.30","       1436.00","       1452.55","       1421.20","       1436.95","       1437.80","       1433.27","    3860958","          5533813705.75","     134900"
"TECHM","EQ","03-Sep-2021","       1437.80","       1444.00","       1449.70","       1425.10","       1442.50","       1441.95","       1437.24","    1919590","          2758905436.20","      84621"
"TECHM","EQ","06-Sep-2021","       1441.95","       1448.00","       1467.90","       1436.10","       1463.00","       1461.15","       1453.43","    1801171","          2617867057.50","      68179"
"TECHM","EQ","07-Sep-2021","       1461.15","       1468.95","       1472.90","       1432.30","       1437.85","       1435.20","       1449.02","    1940043","          2811153819.70","      76037"
"TECHM","EQ","08-Sep-2021","       1435.20","       1440.20","       1442.35","       1419.85","       1427.50","       1427.85","       1430.34","    2256454","          3227488560.40","      70302"
"TECHM","EQ","09-Sep-2021","       1427.85","       1425.60","       1437.90","       1414.00","       1431.25","       1433.25","       1423.70","    2303457","          3279442443.00","      64566"
"TECHM","EQ","13-Sep-2021","       1433.25","       1436.00","       1439.80","       1420.35","       1428.50","       1429.50","       1430.66","    1937241","          2771541002.20","      86371"
"TECHM","EQ","14-Sep-2021","       1429.50","       1435.00","       1457.00","       1429.50","       1449.10","       1452.05","       1443.28","    1554999","          2244292251.45","      82831"
"TECHM","EQ","15-Sep-2021","       1452.05","       1442.10","       1480.00","       1437.95","       1461.80","       1464.85","       1461.48","    2410087","          3522292411.65","      93254"
"TECHM","EQ","16-Sep-2021","       1464.85","       1464.85","       1469.00","       1440.00","       1447.70","       1448.35","       1450.70","    1800078","          2611373663.10","      65365"
"TECHM","EQ","17-Sep-2021","       1448.35","       1451.00","       1472.00","       1436.60","       1446.00","       1451.55","       1450.02","    2861623","          4149424516.35","      74442"
"TECHM","EQ","20-Sep-2021","       1451.55","       1440.00","       1493.15","       1426.35","       1433.00","       1431.30","       1460.28","    2526342","          3689171455.00","     106912"
"TECHM","EQ","21-Sep-2021","       1431.30","       1439.00","       1466.45","       1420.40","       1459.95","       1461.70","       1444.18","    1713705","          2474898968.45","      55189"
"TECHM","EQ","22-Sep-2021","       1461.70","       1464.00","       1527.90","       1456.50","       1514.00","       1513.60","       1507.59","    5145820","          7757789280.50","     161502"
"TECHM","EQ","23-Sep-2021","       1513.60","       1525.10","       1531.00","       1504.00","       1523.00","       1521.50","       1515.99","    2015302","          3055171199.80","      76658"
"TECHM","EQ","24-Sep-2021","       1521.50","       1530.00","       1547.85","       1511.05","       1515.00","       1514.75","       1529.73","    3592146","          5495016429.15","     160531"
"TECHM","EQ","27-Sep-2021","       1514.75","       1523.00","       1525.00","       1459.20","       1465.00","       1464.40","       1475.14","    2728552","          4024998199.60","     123076"
"TECHM","EQ","28-Sep-2021","       1464.40","       1464.40","       1465.00","       1408.40","       1412.90","       1414.05","       1430.44","    3995669","          5715549922.75","     124827"
"TECHM","EQ","29-Sep-2021","       1414.05","       1400.00","       1408.95","       1372.75","       1396.25","       1395.35","       1394.01","    7948104","         11079703614.20","     174181"
"TECHM","EQ","30-Sep-2021","       1395.35","       1388.00","       1402.65","       1377.00","       1382.00","       1380.60","       1386.03","    3856630","          5345415922.25","     121651"
"TECHM","EQ","01-Oct-2021","       1380.60","       1375.00","       1384.00","       1364.80","       1368.90","       1371.25","       1374.41","    2661824","          3658442530.85","     102076"
"TECHM","BL","04-Oct-2021","        826.00","       1371.25","       1371.25","       1371.25","       1371.25","       1371.25","       1371.25","     597003","           818640363.75","          1"
"TECHM","EQ","04-Oct-2021","       1371.25","       1384.70","       1405.55","       1372.05","       1399.60","       1399.05","       1390.25","    2538936","          3529760138.00","      78896"
"TECHM","EQ","05-Oct-2021","       1399.05","       1399.10","       1421.00","       1381.00","       1412.35","       1413.05","       1399.58","    2481825","          3473520825.00","      77989"
"TECHM","EQ","06-Oct-2021","       1413.05","       1422.90","       1426.90","       1379.95","       1383.90","       1385.65","       1400.96","    2769341","          3879736874.50","      76582"
"TECHM","EQ","07-Oct-2021","       1385.65","       1397.95","       1423.30","       1375.65","       1417.85","       1417.20","       1411.17","    1956325","          2760713212.50","      60108"
"TECHM","EQ","08-Oct-2021","       1417.20","       1418.50","       1447.00","       1418.50","       1440.00","       1439.95","       1437.27","    2665924","          3831650389.95","      95490"
"TECHM","EQ","11-Oct-2021","       1439.95","       1420.00","       1434.45","       1385.60","       1401.15","       1400.20","       1410.08","    3073366","          4333701143.25","     128446"
"TECHM","EQ","12-Oct-2021","       1400.20","       1399.00","       1402.85","       1361.00","       1377.80","       1374.45","       1373.09","    2965629","          4072071823.60","     103973"
"TECHM","EQ","13-Oct-2021","       1374.45","       1386.90","       1410.00","       1377.00","       1403.00","       1402.15","       1393.02","    1738985","          2422434805.70","      56858"
