"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"WIPRO","EQ","25-May-2021","        514.90","        517.40","        524.85","        515.70","        517.75","        517.55","        520.01","    7954564","          4136452254.20","      91685"
"WIPRO","EQ","26-May-2021","        517.55","        514.90","        530.45","        514.75","        527.25","        527.25","        525.50","    8823190","          4636564672.10","     108812"
"WIPRO","EQ","27-May-2021","        527.25","        527.25","        545.00","        525.05","        537.40","        540.90","        539.19","   29411126","         15858071296.55","     191129"
"WIPRO","EQ","28-May-2021","        540.90","        539.00","        540.30","        532.65","        537.75","        538.70","        536.60","    5878626","          3154444297.35","      84880"
"WIPRO","EQ","31-May-2021","        538.70","        538.70","        540.55","        531.05","        539.60","        539.05","        537.40","    5386205","          2894547689.65","      75245"
"WIPRO","EQ","01-Jun-2021","        539.05","        541.90","        547.00","        539.65","        543.50","        542.80","        543.11","    5965044","          3239690158.45","      80875"
"WIPRO","EQ","02-Jun-2021","        542.80","        541.95","        545.00","        533.00","        542.05","        543.00","        539.10","    4713568","          2541100370.70","      71034"
"WIPRO","EQ","03-Jun-2021","        543.00","        545.70","        549.90","        538.30","        539.00","        539.05","        541.49","    5637991","          3052926410.75","      89325"
"WIPRO","EQ","04-Jun-2021","        539.05","        543.50","        545.50","        540.45","        541.35","        541.20","        542.62","    4771716","          2589246030.65","      72051"
"WIPRO","EQ","07-Jun-2021","        541.20","        544.70","        551.20","        542.70","        547.95","        548.25","        548.14","    4348433","          2383568849.15","      57770"
"WIPRO","EQ","08-Jun-2021","        548.25","        550.00","        555.50","        549.15","        551.30","        550.60","        552.19","    5429734","          2998218096.45","      88932"
"WIPRO","EQ","09-Jun-2021","        550.60","        553.00","        553.25","        542.20","        545.30","        544.20","        547.74","    6206899","          3399794027.10","      88712"
"WIPRO","EQ","10-Jun-2021","        544.20","        545.55","        555.50","        545.55","        554.30","        554.25","        552.94","    5720744","          3163246993.85","      83406"
"WIPRO","EQ","11-Jun-2021","        554.25","        555.00","        558.95","        551.50","        555.00","        554.30","        555.30","    5612359","          3116525229.25","      78697"
"WIPRO","EQ","14-Jun-2021","        554.30","        553.90","        562.80","        553.00","        562.10","        561.60","        559.27","    5952159","          3328886761.85","     104112"
"WIPRO","EQ","15-Jun-2021","        561.60","        561.50","        564.00","        557.00","        558.00","        557.90","        560.54","    3837245","          2150921872.95","      72576"
"WIPRO","EQ","16-Jun-2021","        557.90","        559.90","        562.55","        553.50","        555.70","        555.25","        557.94","    5497269","          3067122957.65","      96834"
"WIPRO","EQ","17-Jun-2021","        555.25","        552.50","        561.50","        549.55","        559.25","        558.70","        555.66","    4399348","          2444545059.80","      75806"
"WIPRO","EQ","18-Jun-2021","        558.70","        560.00","        561.95","        546.05","        553.30","        549.80","        551.95","   10007116","          5523475034.00","     133048"
"WIPRO","EQ","21-Jun-2021","        549.80","        544.75","        544.75","        535.20","        543.40","        542.15","        540.03","    5390821","          2911210878.15","     101331"
"WIPRO","EQ","22-Jun-2021","        542.15","        545.25","        559.95","        542.30","        556.70","        556.55","        553.47","    5752921","          3184042635.65","      81952"
"WIPRO","EQ","23-Jun-2021","        556.55","        560.00","        560.85","        538.40","        540.45","        540.15","        545.31","   11242702","          6130776304.10","     241626"
"WIPRO","EQ","24-Jun-2021","        540.15","        541.90","        550.55","        539.20","        547.25","        549.05","        546.31","    8668680","          4735807354.15","     147663"
"WIPRO","EQ","25-Jun-2021","        549.05","        549.85","        551.00","        540.50","        546.90","        547.50","        546.25","    5039822","          2753012964.35","      78900"
"WIPRO","EQ","28-Jun-2021","        547.50","        549.75","        550.80","        544.25","        547.45","        547.40","        547.78","    3259830","          1785679245.15","      55270"
